SG,Wt_total,Total_pts,CTGL_1,CTGL_2,Essay,BB_exam_us,BB_exam_ims,student_key,Combined_Scores
06C,95.65961,383.73083,95.99333,96.59467,95.14283,96.0,,260,96.0
06D,97.37325,387.79067,96.49167,97.0,98.299,96.0,,261,96.0
06D,87.65143,359.48582,94.99667,92.69325,83.7959,88.0,,262,88.0
06B,95.29829,379.79658,94.0,94.0,95.79658,96.0,,263,96.0
06C,92.14872,369.87899,93.49125,96.19667,92.19107,88.0,,264,88.0
06B,90.78596,363.93808,94.0,91.0945,90.84358,88.0,,265,88.0
21A,92.00239,369.63965,96.19267,97.0,92.44698,84.0,,266,84.0
06C,90.42153,375.28724,96.49167,99.0,83.79557,96.0,,267,96.0
06D,90.17728,371.08943,94.99667,95.196,84.89676,96.0,,268,96.0
06D,96.34708,382.94067,95.495,94.0,97.44567,96.0,,269,96.0
06A,98.76925,394.5985,98.8,97.0,98.7985,100.0,,270,100.0
06B,90.74883,366.89767,94.0,92.0,88.89767,92.0,,271,92.0
06D,95.47283,378.79217,95.495,94.0,97.29717,92.0,,272,92.0
06D,92.59628,376.78498,94.99667,92.9925,88.79581,100.0,,273,100.0
06B,87.4966,346.2932,94.0,89.0,91.2932,72.0,,274,72.0
06B,90.77179,363.54358,95.0,93.0,91.54358,84.0,,275,84.0
06A,87.47197,346.03602,97.59633,95.39233,93.04736,,60.0,276,60.0
06B,91.42285,369.94571,94.0,91.0,88.94571,96.0,,277,96.0
20A,96.15081,389.28533,96.691,99.0,93.59433,100.0,,278,100.0
06A,96.42783,388.0889,96.898,96.29233,94.89857,100.0,,279,100.0
06C,88.3369,368.3917,94.0,97.597,80.7947,96.0,,280,96.0
06A,94.50234,380.08383,96.693,93.9915,93.39933,96.0,,281,96.0
06A,96.10811,383.08975,96.898,93.49275,96.699,96.0,,282,96.0
06D,95.87736,381.78447,95.99333,93.192,96.59914,96.0,,283,96.0
06B,93.797,377.794,94.0,92.0,91.794,100.0,,284,100.0
06C,90.67133,360.59034,90.0,97.49667,93.09367,80.0,,285,80.0
06A,95.192,383.29028,97.7,95.59467,93.99561,96.0,,286,96.0
06A,96.67462,391.94925,99.0,99.0,93.94925,100.0,,287,100.0
